,userID,date,Hour,Minute,wpkg,grade
245,U1000010,2022-11-19,5,53,1.26647,-0.13450000000000004
246,U1000010,2022-11-19,5,54,1.0116316666666672,0.13283333333333344
247,U1000010,2022-11-19,5,56,1.6482566666666665,0.7795
248,U1000010,2022-11-19,5,57,1.536821666666667,1.1366666666666667
249,U1000010,2022-11-19,5,58,2.0691816666666663,4.711166666666665
250,U1000010,2022-11-19,5,59,2.517826666666667,7.092499999999999
251,U1000010,2022-11-19,6,0,2.231396666666667,7.829333333333334
252,U1000010,2022-11-19,6,1,2.243606666666667,6.0075
253,U1000010,2022-11-19,6,2,2.2216999999999985,5.612666666666667
254,U1000010,2022-11-19,6,3,1.7947666666666664,3.697833333333334
255,U1000010,2022-11-19,6,4,1.842055,4.195333333333333
256,U1000010,2022-11-19,6,5,1.9986433333333327,4.466833333333333
257,U1000010,2022-11-19,6,6,1.7048466666666664,3.3335000000000004
258,U1000010,2022-11-19,6,7,1.7397316666666665,2.7093333333333334
259,U1000003,2022-11-19,6,8,3.1726111111111104,0.5157407407407407
260,U1000010,2022-11-19,6,8,0.6903116666666664,-0.052333333333333475
261,U1000003,2022-11-19,6,9,2.9483533333333334,1.2545
262,U1000010,2022-11-19,6,9,1.4242216666666663,-0.4888333333333335
263,U1000003,2022-11-19,6,10,3.6539100000000007,2.2865
264,U1000010,2022-11-19,6,10,1.5815900000000003,2.6305000000000005
265,U1000003,2022-11-19,6,11,2.7405349999999995,-0.861
266,U1000010,2022-11-19,6,11,2.0932216666666674,2.8951666666666673
267,U1000003,2022-11-19,6,12,2.9837400000000005,0.006166666666666664
268,U1000010,2022-11-19,6,12,2.162598333333334,6.3855
269,U1000003,2022-11-19,6,13,3.226331666666667,0.006000000000000004
270,U1000010,2022-11-19,6,13,2.052905,6.2414999999999985
271,U1000003,2022-11-19,6,14,1.7984574999999998,-0.35425
272,U1000010,2022-11-19,6,14,2.160076666666667,7.01
273,U1000003,2022-11-19,6,15,3.1487683333333334,0.1455
274,U1000010,2022-11-19,6,15,2.98895,7.5725
275,U1000003,2022-11-19,6,16,3.0596700000000006,0.5761666666666666
276,U1000010,2022-11-19,6,16,0.8042616666666664,4.583833333333335
277,U1000010,2022-11-19,6,17,0.6420549999999999,-2.944166666666666
278,U1000003,2022-11-19,6,18,3.3065916666666673,0.13783333333333334
279,U1000004,2022-11-19,6,18,2.683558333333334,2.489333333333333
280,U1000010,2022-11-19,6,18,1.5980600000000005,2.012833333333334
281,U1000003,2022-11-19,6,19,3.1773650000000004,0.07533333333333334
282,U1000004,2022-11-19,6,19,3.5144116666666676,5.991666666666669
283,U1000010,2022-11-19,6,19,0.10335925925925923,-1.778148148148148
284,U1000003,2022-11-19,6,20,4.036838333333334,2.6348333333333334
285,U1000004,2022-11-19,6,20,2.822516666666666,2.4356666666666666
286,U1000010,2022-11-19,6,20,0.11762307692307691,-2.282884615384615
287,U1000003,2022-11-19,6,21,3.806791666666664,5.386833333333334
288,U1000004,2022-11-19,6,21,2.474775,1.2990000000000004
289,U1000010,2022-11-19,6,21,1.412991666666666,-0.6349999999999998
290,U1000003,2022-11-19,6,22,4.014821666666667,2.4378333333333337
291,U1000004,2022-11-19,6,22,2.669593333333334,1.734
292,U1000003,2022-11-19,6,23,3.029826666666666,0.8711666666666663
293,U1000004,2022-11-19,6,23,3.563291666666665,4.790166666666667
294,U1000010,2022-11-19,6,23,0.9779066666666666,-1.013666666666667
295,U1000003,2022-11-19,6,24,3.666255000000001,1.9611666666666672
296,U1000004,2022-11-19,6,24,3.7840066666666665,5.563166666666668
297,U1000010,2022-11-19,6,24,1.3288783333333336,0.4449999999999998
298,U1000003,2022-11-19,6,25,4.493413333333335,5.599166666666666
299,U1000004,2022-11-19,6,25,3.4328866666666666,6.947166666666666
300,U1000010,2022-11-19,6,25,1.0449599999999999,-0.6016666666666665
301,U1000003,2022-11-19,6,26,4.176749999999999,6.024999999999999
302,U1000004,2022-11-19,6,26,3.4288266666666667,6.998499999999998
303,U1000010,2022-11-19,6,26,0.5011616666666667,-4.4906666666666695
304,U1000003,2022-11-19,6,27,3.7218116666666665,6.655666666666667
305,U1000004,2022-11-19,6,27,4.183784999999999,7.4403333333333315
306,U1000010,2022-11-19,6,27,3.124221666666667,4.777333333333335
307,U1000000,2022-11-19,6,28,1.5587499999999996,0.42850000000000016
308,U1000003,2022-11-19,6,28,3.6323033333333337,6.552666666666666
309,U1000004,2022-11-19,6,28,4.867111666666667,4.621333333333334
310,U1000010,2022-11-19,6,28,1.4982550000000001,5.854166666666666
311,U1000003,2022-11-19,6,29,4.110289999999998,7.272666666666664
312,U1000004,2022-11-19,6,29,0.3488766666666668,1.3054999999999999
313,U1000010,2022-11-19,6,29,0.7100750000000001,0.4156666666666668
314,U1000003,2022-11-19,6,30,3.7705749999999996,4.543999999999998
315,U1000004,2022-11-19,6,30,1.5959466666666668,-2.127666666666667
316,U1000010,2022-11-19,6,30,0.029649999999999996,-1.8096666666666668
317,U1000003,2022-11-19,6,31,2.908846666666667,-1.9553333333333327
318,U1000004,2022-11-19,6,31,4.223421666666665,-0.2596666666666666
319,U1000010,2022-11-19,6,31,0.15871833333333338,-4.0873333333333335
320,U1000000,2022-11-19,6,32,1.3482142857142858,0.005714285714285714
321,U1000003,2022-11-19,6,32,3.3666683333333345,0.13366666666666663
322,U1000004,2022-11-19,6,32,3.0232,-0.316333333333333
323,U1000010,2022-11-19,6,32,0.354265,-3.1618333333333326
324,U1000003,2022-11-19,6,33,2.8419700000000003,-0.5155
325,U1000004,2022-11-19,6,33,3.586931666666667,-0.061000000000000054
326,U1000010,2022-11-19,6,33,2.579261666666666,7.107500000000001
327,U1000003,2022-11-19,6,34,3.9755133333333337,0.4225000000000001
328,U1000004,2022-11-19,6,34,3.251356666666667,-2.6033333333333326
329,U1000010,2022-11-19,6,34,1.7381783333333334,5.687166666666667
330,U1000003,2022-11-19,6,35,2.2693416666666666,-4.411833333333331
331,U1000004,2022-11-19,6,35,3.7878366666666663,0.6876666666666666
332,U1000010,2022-11-19,6,35,2.842638333333334,9.085833333333333
333,U1000003,2022-11-19,6,36,5.114198333333335,4.042499999999999
334,U1000004,2022-11-19,6,36,3.3677949999999988,3.9668333333333354
335,U1000010,2022-11-19,6,36,2.1664750000000006,7.545666666666667
336,U1000003,2022-11-19,6,37,2.817278333333333,1.796166666666666
