step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
258,2.43702,33.3828,89,-1.37,0.7028,1.9189
259,2.44717,34.398,88,-1.66,0.7028,2.0811
260,2.45707,34.0776,88,-1.8,0.7028,2.2297
261,2.46665,33.9984,89,-1.8,0.7028,2.8108
262,2.47645,33.9192,89,-1.72,0.7081,3.1216
263,2.48626,33.8508,88,-1.58,0.7081,3.0541
264,2.49525,33.4332,87,-1.4,0.7134,2.8919
265,2.50489,32.9148,87,-1.23,0.7134,2.973
266,2.5148,33.7392,86,-1.08,0.7134,3.2973
267,2.52424,33.5664,86,-0.95,0.7081,3.0676
268,2.53336,32.778,86,-0.85,0.7081,3.027
269,2.54254,32.3424,85,-0.79,0.7134,3.0946
270,2.55166,32.3892,85,-0.71,0.7187,2.5676
271,2.56044,32.3172,84,-0.62,0.7134,1.7568
272,2.56978,32.3064,85,-0.32,0.7187,2.4054
273,2.57873,32.2416,84,0,0.7134,2.7027
274,2.58772,32.1768,84,0,0.7134,1.7297
275,2.59693,32.1804,83,0,0.7187,1.9595
276,2.60595,32.2092,83,0,0.7292,2.1757
277,2.61493,32.166,83,0,0.7451,2.473
278,2.62397,32.1948,83,0,0.7345,2.7027
279,2.63302,31.6152,83,0,0.7345,2.3514
280,2.64161,31.9968,83,0,0.7345,2.4324
281,2.65069,31.9968,84,0,0.7292,2.7027
282,2.65975,32.0184,83,0,0.7292,2.5
283,2.66864,32.1516,84,0,0.7239,2.4459
284,2.67743,32.0652,84,0,0.7239,2.3649
285,2.6866,32.0688,83,0,0.7239,2.0541
286,2.69553,32.0184,83,0,0.7239,1.9189
287,2.70423,31.5972,82,0,0.7239,1.7838
288,2.71299,31.5288,82,0,0.7239,1.8514
289,2.7215,32.004,83,0,0.7239,2.4595
290,2.73079,31.95,83,0,0.7239,2.5405
291,2.73957,32.0004,82,0,0.7187,2.2297
292,2.74855,32.0328,83,0,0.7187,2.1622
293,2.75774,32.0832,83,0,0.7187,2.2432
294,2.76662,31.9248,82,0,0.7187,2.1216
295,2.7754,31.2372,82,0,0.7187,2.0135
296,2.78414,31.6872,82,0,0.7134,2.0676
297,2.79304,31.7664,83,0,0.7134,2.2973
298,2.80182,32.0508,82,0,0.7134,2.6892
299,2.8106,32.0688,83,0,0.7081,2.5135
300,2.8197,32.04,83,0,0.7081,2.0405
301,2.82864,32.0436,83,0,0.7134,2.0676
302,2.83747,31.9788,82,0,0.7134,2.0946
303,2.8464,31.9824,83,0,0.7134,2.1757
304,2.85533,31.9032,82,0,0.7134,2.2838
305,2.86407,31.878,82,0,0.7081,2.5541
306,2.87305,32.202,83,0,0.7081,2.8378
307,2.88207,32.1516,83,0,0.7028,2.7432
308,2.89099,32.1264,83,0,0.7028,2.1892
309,2.90007,31.9644,82,0,0.7028,1.7703
310,2.90872,31.4676,82,0,0.7081,1.9189
311,2.91758,31.4748,81,0,0.7081,1.8514
312,2.92609,31.4712,82,0,0.7081,2.2027
313,2.93503,31.3884,82,0,0.7028,2.4865
314,2.94364,31.3596,82,0,0.7028,2.2703
315,2.9521,31.3344,81,0,0.7028,2.2027
316,2.96106,31.3452,81,0,0.6975,2.3243
317,2.96978,31.4028,82,0,0.6975,2.3919
318,2.97856,31.4856,82,0,0.6975,2.3378
319,2.9873,31.4856,82,0,0.6975,2.2973
320,2.9961,31.5504,82,0,0.6975,2.527
321,3.0049,31.6008,82,0,0.6975,2.4189
322,3.01357,31.95,82,0,0.6975,2.2703
323,3.02246,31.6188,82,0,0.6975,2.0541
